127.0.0.1 - - [21/Jan/2026:13:51:52 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [21/Jan/2026:13:51:58 +0530] "GET /Jsp-Servelet/Hello.jsp HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [21/Jan/2026:14:00:29 +0530] "GET /Jsp-Servelet/Hello.jsp HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [21/Jan/2026:14:00:44 +0530] "GET /Jsp-Servelet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jan/2026:14:00:44 +0530] "GET /Jsp-Servelet/ HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [21/Jan/2026:14:15:55 +0530] "GET /Jsp-Servelet/Hello.jsp HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [21/Jan/2026:14:16:41 +0530] "GET /Jsp-Servelet/Hello.jsp HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:03:47 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:04:46 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:04:46 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:04:56 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:05:04 +0530] "GET /Jsp-Servelet/form.jsp?first+name=&last+name=&login=&password= HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:05:04 +0530] "GET /Jsp-Servelet/form.jsp?first+name=&last+name=&login=&password= HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:05:04 +0530] "GET /Jsp-Servelet/form.jsp?first+name=&last+name=&login=&password= HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:05:05 +0530] "GET /Jsp-Servelet/form.jsp?first+name=&last+name=&login=&password= HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:05:05 +0530] "GET /Jsp-Servelet/form.jsp?first+name=&last+name=&login=&password= HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:05:22 +0530] "GET /Jsp-Servelet/form.jsp?first+name=&last+name=&login=&password= HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:06:16 +0530] "GET /Jsp-Servelet/form.jsp?first+name=&last+name=&login=&password= HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:06:41 +0530] "GET /Jsp-Servelet/form.jsp?first+name=&last+name=&login=&password= HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:09:20 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:09:43 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:09:50 +0530] "GET /Jsp-Servelet/form.jsp?first+name=&last+name=&login=&password= HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:10:13 +0530] "GET /Jsp-Servelet/form.jsp?first+name=rj3urwe&last+name=sdjihsijhg&login=ksdggsgjsnjg%40gmail.com&password=nsgnsgnsj HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:10:43 +0530] "GET /Jsp-Servelet/form.jsp?first+name=rj3urwe&last+name=sdjihsijhg&login=ksdggsgjsnjg%40gmail.com&password=nsgnsgnsj HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:12:54 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:13:29 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:17:23 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:40:05 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:40:13 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:42:25 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1044
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:43:34 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1038
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:43:37 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1038
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:43:44 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1038
0:0:0:0:0:0:0:1 - - [21/Jan/2026:15:43:45 +0530] "GET /Jsp-Servelet/form.jsp HTTP/1.1" 200 1038
